google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJfab4gggJCDERuZmK6wjaZQU,Statue of Preah Thong Neang Neak,cultural,historical_landmark,Historical Landmark,,10.565126099999999,103.585625,"HH8P+365, Unnamed Road, Moat Peam, Cambodia",4.6,721,,OPERATIONAL,,https://maps.google.com/?cid=388956674683738553&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Sihanoukville
ChIJj_O5bKLpBzERYFVkiQsL3Rk,Ocean Breeze,attraction,tourist_attraction,Tourist Attraction,,10.683070299999999,103.2878252,"Longset Beach, Preah Sihanouk, Cambodia",4.7,196,,OPERATIONAL,,https://maps.google.com/?cid=1863657964978853216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Rong
ChIJ986P4p7vBzER1OOY-qmQtO4,Sunset Beach,nature,nature_preserve,Nature Preserve,walking,10.576045899999999,103.2962112,"H7GW+CF8, Preah Sihanouk, Cambodia",4.7,166,,OPERATIONAL,,https://maps.google.com/?cid=17200531936562963412&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,nature_preserve;park;point_of_interest;establishment,park,Koh Rong
ChIJy_GQQIPhBzER108OJBx2sVA,Two Lions Roundabout(SHV),cultural,historical_landmark,Historical Landmark,,10.610643099999999,103.5236851,"Sihanoukville, Preah Sihanouk, Cambodia",4.6,187,,OPERATIONAL,,https://maps.google.com/?cid=5814558457148100567&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,historical_landmark;historical_place;point_of_interest;establishment,historical_landmark,Sihanoukville
ChIJ4ZJMCePhBzERNXf4CMEVJZY,St. Michael Catholic Church,cultural,church,Church,sightseeing,10.6364225,103.5165799,"JGP8+9MH, Village 2, Preah Sihanouk, Cambodia",4.9,50,,OPERATIONAL,,https://maps.google.com/?cid=10819077598650857269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,church;place_of_worship;association_or_organization;point_of_interest;establishment,church,Sihanoukville
ChIJubOlxU7hBzERvGCx1lN7kEo,Masjid kampung som,cultural,mosque,Mosque,sightseeing,10.623482300000001,103.5149373,"18 ផ្លូវលេខ ១២១, Kâmpóng Saôm, Cambodia",4.8,64,,OPERATIONAL,,https://maps.google.com/?cid=5372929955467452604&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,mosque;place_of_worship;association_or_organization;point_of_interest;establishment,mosque,Sihanoukville
ChIJs3H-Ni7rBzEReCHiTBozpts,5 mile Beach,attraction,tourist_attraction,Tourist Attraction,,10.6757315,103.25885079999999,"M7H5+37, Preah Sihanouk, Cambodia",4.8,63,,OPERATIONAL,,https://maps.google.com/?cid=15827394128492241272&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Rong
ChIJfTrg3b4ICDERj52UBchdUkg,Udom Vinhean Ream Pagoda វត្តឧត្ដមវិញ្ញាណរាម,attraction,place_of_worship,Place of Worship,,10.516323199999999,103.618195,"GJ89+G7G, Cambodia",4.7,58,,OPERATIONAL,,https://maps.google.com/?cid=5211330832489553295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;place_of_worship;association_or_organization;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJZUZTwZwJCDER_IW_YljVZwQ,ខ្មែរធ្វើបាន Cambodian Can Do It,attraction,tourist_attraction,Tourist Attraction,,10.5573622,103.5797352,"Poy Lok Yey Jom Teav Mav, Jom Teav Mav Boulevard, Cambodia",4.5,359,,OPERATIONAL,,https://maps.google.com/?cid=317456874343466492&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJITiujDrpBzERkd9T0PlGcPI,M'Pai Bay,attraction,scenic_spot,Scenic Spot,,10.622611899999999,103.2948181,"Cambodia, Mpai bay, Preah Sihanouk 18000, Cambodia",4.5,354,,OPERATIONAL,,https://maps.google.com/?cid=17469540993326112657&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,scenic_spot;tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ8fvnCiXBBzERb_Hv5nNovYk,Golden Beach Resort,attraction,resort_hotel,Resort hotel,,10.7093054,103.23304069999999,"Sok San Beach Village Sok San, District Ream, Preah Sihanouk, Cambodia",4.5,327,,OPERATIONAL,http://www.goldenbeachsoksan.com/,https://maps.google.com/?cid=9925204000799453551&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,resort_hotel;tourist_attraction;hotel;event_venue;lodging;spa;restaurant;food;point_of_interest;establishment,tourist_attraction,Koh Rong
ChIJt9bSjWDpBzERyR4UTWb_Qn0,Koh Rong Beach - ឆ្នេរកោះរ៉ុង,attraction,tourist_attraction,Tourist Attraction,,10.6826446,103.28623429999999,"Preah Sihanouk, Cambodia",4.7,35,,OPERATIONAL,https://tesjorcambodia.com/,https://maps.google.com/?cid=9026057418048806601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;scenic_spot;point_of_interest;establishment,tourist_attraction,Koh Rong
ChIJA5XXWMXhBzERFvNaeJQfoVM,សហគមន៍អេកូទេសចរណ៍ ព្រែកកោងកាងកោះរ៉ុង Prek Kongkang Koh Rong Ecotourism Community PKKREC,attraction,tourist_attraction,Tourist Attraction,,10.7130798,103.26284199999999,"Ta Sok River, Preah Sihanouk, Cambodia",4.7,34,,OPERATIONAL,https://pkkrec.my.canva.site/,https://maps.google.com/?cid=6026132498933281558&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;tourist_information_center;tour_agency;travel_agency;service;point_of_interest;establishment,tourist_attraction,Koh Rong
ChIJpX-8cQDDBzER4fLVL3IsU8E,Coconut Beach,attraction,tourist_attraction,Tourist Attraction,,10.703334,103.313408,"P827+R8, Preah Sihanouk, Cambodia",4.5,127,,OPERATIONAL,,https://maps.google.com/?cid=13930526941327520481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Sihanoukville
ChIJ0SjA-6bhBzERinXTalftz_M,Gobo East,urban,night_club,Night Club,nightlife,10.608894099999999,103.5242909,"JG5F+HP3, 23 Tola St, Preah Sihanouk, Cambodia",4.7,25,,OPERATIONAL,,https://maps.google.com/?cid=17568521631105774986&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,night_club;point_of_interest;establishment,night_club,Sihanoukville
